f_ghz,gain_imb_db,phase_imb_deg,cm_leak_dbc
8.912509379999999926e-01,0.000000000000000000e+00,-2.849999987120099831e-07,-2.952790659199999936e+02
9.120108390000000176e-01,0.000000000000000000e+00,-2.860000165583187481e-07,-2.931855989199999613e+02
9.332543009999999528e-01,0.000000000000000000e+00,3.789999993841774995e-07,-3.029945681499999637e+02
9.549925860000000322e-01,0.000000000000000000e+00,-1.600000132384593599e-08,-2.986045627299999978e+02
9.772372209999999892e-01,0.000000000000000000e+00,4.000000330961483996e-08,-3.005427278000000229e+02
1.000000000000000000e+00,0.000000000000000000e+00,2.999999821895471541e-07,-3.005425094700000272e+02
1.023292990000000069e+00,0.000000000000000000e+00,-2.239999901121336734e-07,-2.986047028200000000e+02
1.047128550000000047e+00,0.000000000000000000e+00,-2.580000000307336450e-07,-2.998476819599999885e+02
1.071519310000000003e+00,0.000000000000000000e+00,-2.499999993688106770e-07,-3.021245069500000113e+02
1.096478199999999958e+00,0.000000000000000000e+00,-3.700000092976551969e-07,-2.986034338399999797e+02
1.122018449999999889e+00,0.000000000000000000e+00,-4.799999828719592188e-07,-2.992032097000000022e+02
1.148153619999999986e+00,0.000000000000000000e+00,-1.500000053056282923e-07,-2.998477575399999751e+02
1.174897550000000068e+00,0.000000000000000000e+00,3.799999888087768340e-07,-2.986040743899999939e+02
1.202264430000000051e+00,0.000000000000000000e+00,1.900000086152431322e-07,-2.975181622599999969e+02
1.230268769999999900e+00,0.000000000000000000e+00,-3.000000106112565845e-07,-2.970202131400000098e+02
1.258925410000000022e+00,0.000000000000000000e+00,-3.299999775663309265e-07,-2.975159670300000130e+02
1.288249549999999966e+00,0.000000000000000000e+00,2.299999835031485418e-07,-2.948928498800000284e+02
1.318256740000000038e+00,0.000000000000000000e+00,-9.999999406318238471e-08,-2.965510986500000286e+02
1.348962879999999975e+00,0.000000000000000000e+00,-4.400000079840538092e-07,-2.970206172999999694e+02
1.380384260000000030e+00,0.000000000000000000e+00,4.900000192264997168e-07,-2.941682427599999983e+02
1.412537539999999980e+00,0.000000000000000000e+00,3.899999967416079016e-07,-2.986044059399999924e+02
1.445439769999999902e+00,0.000000000000000000e+00,3.700000092976551969e-07,-2.965509317500000179e+02
1.479108389999999940e+00,0.000000000000000000e+00,-9.999979511121637188e-09,-2.970199280799999997e+02
1.513561249999999969e+00,0.000000000000000000e+00,2.299999835031485418e-07,-3.012947878200000105e+02
1.548816619999999977e+00,0.000000000000000000e+00,-4.300000000512227416e-07,-3.012970248299999980e+02
1.584893190000000063e+00,0.000000000000000000e+00,-8.000000661922967993e-08,-2.952761659600000144e+02
1.621810100000000032e+00,0.000000000000000000e+00,-3.000000106112565845e-07,-2.975153980499999875e+02
1.659586910000000026e+00,0.000000000000000000e+00,-1.600000132384593599e-07,-3.012967699300000390e+02
1.698243649999999993e+00,0.000000000000000000e+00,-2.399999914359796094e-07,-2.980416064000000347e+02
1.737800830000000074e+00,0.000000000000000000e+00,4.300000000512227416e-07,-2.931787802499999884e+02
1.778279409999999894e+00,0.000000000000000000e+00,3.600000013648241293e-07,-3.012954862600000183e+02
1.819700859999999976e+00,0.000000000000000000e+00,-3.899999967416079016e-07,-2.931789961999999719e+02
1.862087140000000085e+00,0.000000000000000000e+00,-1.900000086152431322e-07,-2.956793548100000066e+02
1.905460719999999997e+00,0.000000000000000000e+00,1.900000086152431322e-07,-2.992023668100000009e+02
1.949844600000000039e+00,0.000000000000000000e+00,-4.000000046744389692e-07,-2.948859789100000057e+02
1.995262309999999983e+00,0.000000000000000000e+00,4.599999954280065140e-07,-2.980431418100000087e+02
2.041737939999999973e+00,0.000000000000000000e+00,-1.199999815071350895e-07,-2.938224941699999704e+02
2.089296130000000140e+00,0.000000000000000000e+00,-3.999999762527295388e-07,-2.998378976600000101e+02
2.137962089999999815e+00,0.000000000000000000e+00,1.999998744395270478e-08,-3.005289528999999789e+02
2.187761619999999851e+00,0.000000000000000000e+00,2.300000119248579722e-07,-2.952742345100000421e+02
2.238721139999999998e+00,0.000000000000000000e+00,5.000001124244590756e-08,-2.945117010700000151e+02
2.290867650000000033e+00,0.000000000000000000e+00,-1.000000793283106759e-08,-2.970132771500000217e+02
2.344228820000000102e+00,0.000000000000000000e+00,3.099999901223782217e-07,-2.945126093000000083e+02
2.398832919999999813e+00,0.000000000000000000e+00,2.999999537678377237e-08,-2.956767470400000093e+02
2.454708919999999850e+00,0.000000000000000000e+00,-6.999999868639861234e-08,-2.938152128699999821e+02
2.511886430000000114e+00,0.000000000000000000e+00,-3.800000172304862645e-07,-2.925726232499999924e+02
2.570395780000000130e+00,0.000000000000000000e+00,4.799999828719592188e-07,-3.005270306200000050e+02
2.630267990000000111e+00,0.000000000000000000e+00,-2.399999914359796094e-07,-2.974995963999999731e+02
2.691534799999999894e+00,0.000000000000000000e+00,-4.599999954280065140e-07,-2.956714879799999949e+02
2.754228700000000085e+00,0.000000000000000000e+00,-2.200000039920269046e-07,-3.012656567099999734e+02
